,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,punta arenas,40.0,CL,1536361200.0,95.0,-53.16,-70.91,39.2,8.05
1,hobart,20.0,AU,1536363000.0,53.0,-42.88,147.33,51.8,9.17
2,somerset,75.0,US,1536360960.0,54.0,37.09,-84.6,84.2,4.63
3,chuy,0.0,UY,1536364498.0,94.0,-33.69,-53.46,53.85,8.77
4,tieli,48.0,CN,1536364498.0,98.0,46.98,128.05,48.27,8.1
5,port hardy,75.0,CA,1536361200.0,87.0,50.7,-127.42,59.0,14.99
6,skjervoy,0.0,NO,1536364419.0,99.0,70.03,20.97,49.26,0.94
7,labuhan,0.0,ID,1536364499.0,80.0,-2.54,115.51,77.97,3.62
8,victoria,75.0,BN,1536363000.0,100.0,5.28,115.24,82.4,6.2
9,alta floresta,0.0,BR,1536364267.0,36.0,-9.87,-56.08,88.5,5.41
10,chapais,75.0,CA,1536361200.0,46.0,49.78,-74.86,50.0,11.41
11,bethel,1.0,US,1536360780.0,54.0,60.79,-161.76,57.02,16.11
12,la ronge,75.0,CA,1536361200.0,54.0,55.1,-105.3,57.2,12.75
14,rikitea,92.0,PF,1536364502.0,100.0,-23.12,-134.97,70.5,24.32
15,anshun,76.0,CN,1536364502.0,87.0,26.25,105.93,60.15,6.64
16,svetogorsk,0.0,FI,1536362400.0,93.0,61.11,28.87,57.2,3.36
17,smithers,75.0,CA,1536361200.0,48.0,54.78,-127.17,66.2,6.93
18,khatanga,92.0,RU,1536364503.0,81.0,71.98,102.47,37.11,10.67
19,mahebourg,40.0,MU,1536361200.0,73.0,-20.41,57.7,69.8,10.29
20,puerto ayora,75.0,EC,1536361200.0,65.0,-0.74,-90.35,77.0,17.22
21,anqing,0.0,CN,1536364504.0,83.0,30.51,117.04,71.13,8.77
23,hilo,40.0,US,1536360960.0,71.0,19.71,-155.08,84.02,9.17
24,qaanaaq,12.0,GL,1536364504.0,100.0,77.48,-69.36,28.29,4.74
25,poso,0.0,ID,1536364505.0,100.0,-1.4,120.75,79.77,5.97
26,esperance,20.0,TT,1536361200.0,83.0,10.24,-61.45,82.4,3.36
27,batemans bay,36.0,AU,1536364505.0,88.0,-35.71,150.18,54.3,4.41
28,mataura,0.0,NZ,1536364505.0,84.0,-46.19,168.86,51.33,3.4
29,syracuse,75.0,US,1536360960.0,58.0,43.05,-76.15,68.0,8.05
30,hithadhoo,92.0,MV,1536364506.0,100.0,-0.6,73.08,81.66,8.66
31,murgab,0.0,TM,1536361200.0,37.0,37.5,61.97,68.0,4.7
32,saskylakh,80.0,RU,1536364507.0,80.0,71.97,114.09,34.23,5.75
33,barrow,0.0,AR,1536364507.0,52.0,-38.31,-60.23,48.72,8.32
34,bambous virieux,40.0,MU,1536361200.0,73.0,-20.34,57.76,69.8,10.29
35,avarua,0.0,CK,1536364507.0,100.0,-21.21,-159.78,74.55,3.18
36,saran,0.0,FR,1536363000.0,76.0,47.95,1.88,51.8,4.41
37,new norfolk,20.0,AU,1536363000.0,53.0,-42.78,147.06,51.8,9.17
39,busselton,92.0,AU,1536364508.0,99.0,-33.64,115.35,60.96,20.51
40,atambua,0.0,ID,1536364509.0,100.0,-9.11,124.89,75.99,6.64
41,taltal,0.0,CL,1536364509.0,92.0,-25.41,-70.49,54.93,2.17
42,provideniya,0.0,RU,1536364509.0,97.0,64.42,-173.23,48.99,6.64
43,mozarlandia,24.0,BR,1536364509.0,44.0,-14.74,-50.57,76.89,4.41
45,les cayes,8.0,HT,1536364510.0,94.0,18.19,-73.75,83.55,11.01
46,dingle,80.0,PH,1536364510.0,100.0,11.0,122.67,77.97,4.97
47,grindavik,90.0,IS,1536361200.0,81.0,63.84,-22.43,50.0,33.33
48,hermanus,92.0,ZA,1536364511.0,89.0,-34.42,19.24,48.81,6.76
49,lagoa,0.0,PT,1536363000.0,82.0,37.14,-8.45,66.2,4.7
50,bredasdorp,80.0,ZA,1536361200.0,81.0,-34.53,20.04,51.8,6.93
51,kahului,75.0,US,1536363660.0,65.0,20.89,-156.47,86.0,17.22
52,sinnamary,0.0,GF,1536364512.0,96.0,5.38,-52.96,82.02,10.0
53,eastlake,1.0,US,1536360960.0,68.0,32.66,-116.98,89.06,8.05
54,cape town,20.0,ZA,1536361200.0,87.0,-33.93,18.42,46.4,5.82
55,port alfred,0.0,ZA,1536364513.0,100.0,-33.59,26.89,52.05,13.69
56,faanui,0.0,PF,1536364513.0,100.0,-16.48,-151.75,77.97,10.45
57,ocampo,44.0,PH,1536364513.0,95.0,13.56,123.37,81.3,6.42
58,castro,92.0,CL,1536364223.0,87.0,-42.48,-73.76,45.39,3.4
59,lieksa,88.0,FI,1536364514.0,97.0,63.32,30.02,54.3,4.63
60,anadyr,20.0,RU,1536361200.0,67.0,64.73,177.51,57.2,2.24
61,peleduy,36.0,RU,1536364515.0,97.0,59.63,112.75,34.77,3.29
62,umea,90.0,SE,1536362400.0,100.0,63.83,20.26,51.8,5.82
63,tuatapere,0.0,NZ,1536364515.0,100.0,-46.13,167.69,49.62,2.39
64,lorengau,76.0,PG,1536364516.0,100.0,-2.02,147.27,81.03,9.22
65,lebu,24.0,ET,1536364516.0,90.0,8.96,38.73,47.19,2.73
66,fukuma,75.0,JP,1536361200.0,83.0,33.77,130.47,71.6,12.75
67,ushuaia,20.0,AR,1536361200.0,60.0,-54.81,-68.31,41.0,13.87
68,petukhovo,100.0,RU,1536364517.0,98.0,55.06,67.89,50.88,10.56
69,albany,75.0,US,1536360840.0,68.0,42.65,-73.75,71.06,4.7
70,bluff,12.0,AU,1536364517.0,64.0,-23.58,149.07,74.73,7.43
71,kununurra,0.0,AU,1536363000.0,69.0,-15.77,128.74,80.6,3.36
72,wattegama,80.0,LK,1536364518.0,90.0,7.35,80.68,71.85,4.63
73,ewa beach,90.0,US,1536361020.0,67.0,21.32,-158.01,87.98,9.17
74,riyadh,0.0,SA,1536361200.0,13.0,24.63,46.72,84.2,3.36
